,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
565653,Moldova,GDP at market prices (current US$),NY.GDP.MKTP.CD,5167726920.62,5625513041.68,2123702265.06,D
569318,Monaco,GDP at market prices (current US$),NY.GDP.MKTP.CD,5183482778.94,5453959962.83,1315643122.49,C
572983,Mongolia,GDP at market prices (current US$),NY.GDP.MKTP.CD,6399066257.06,5103533408.38,4080818995.97,C
576648,Montenegro,GDP at market prices (current US$),NY.GDP.MKTP.CD,3554071222.27,4113458290.40,1192984858.13,D
580313,Morocco,GDP at market prices (current US$),NY.GDP.MKTP.CD,83396614994.62,92702289079.69,21151569487.99,B
583978,Mozambique,GDP at market prices (current US$),NY.GDP.MKTP.CD,10666420505.84,10532968229.14,3308328651.34,C
587643,Myanmar,GDP at market prices (current US$),NY.GDP.MKTP.CD,35407147628.76,34384367741.38,20970412933.96,B
591308,Namibia,GDP at market prices (current US$),NY.GDP.MKTP.CD,9467839419.19,8808528360.51,2885428150.23,C
594973,Nauru,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,A
598638,Nepal,GDP at market prices (current US$),NY.GDP.MKTP.CD,13143318040.69,12700212034.74,4948978223.84,C
602303,Netherlands,GDP at market prices (current US$),NY.GDP.MKTP.CD,787734479033.77,837904796153.61,151809538772.56,A
605968,New Caledonia,GDP at market prices (current US$),NY.GDP.MKTP.CD,2682347064.36,2682347064.36,,D
609633,New Zealand,GDP at market prices (current US$),NY.GDP.MKTP.CD,135263825363.72,135297148479.49,39401107858.78,B
613298,Nicaragua,GDP at market prices (current US$),NY.GDP.MKTP.CD,8245928705.31,8397830493.60,1880032694.67,C
616963,Niger,GDP at market prices (current US$),NY.GDP.MKTP.CD,5068000779.59,5400242886.83,1788666663.24,D
620628,Nigeria,GDP at market prices (current US$),NY.GDP.MKTP.CD,260478780383.29,188773035653.42,163482538487.01,A
624293,Northern Mariana Islands,GDP at market prices (current US$),NY.GDP.MKTP.CD,865555555.56,799000000.00,117834747.75,D
