,Country Name,Indicator Name,Indicator Code,moyennes,medians,EcartTypes,Category
128271,Aruba,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.08,99.08,0.08,A
131936,Australia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
135601,Austria,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
139266,Azerbaijan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.96,99.95,0.02,A
142931,"Bahamas, The","Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
146596,Bahrain,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.16,98.16,,B
150261,Bangladesh,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,63.79,63.79,2.72,D
153926,Barbados,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
157591,Belarus,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.82,99.82,,A
161256,Belgium,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
164921,Belize,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
168586,Benin,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,47.43,47.43,7.16,D
172251,Bermuda,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
175916,Bhutan,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,80.86,80.86,9.13,C
179581,Bolivia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.19,99.12,0.21,A
183246,Bosnia and Herzegovina,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.64,99.66,0.17,A
186911,Botswana,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
190576,Brazil,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.65,97.84,1.37,B
194241,British Virgin Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
197906,Brunei Darussalam,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,99.37,99.37,,A
201571,Bulgaria,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,97.87,97.87,,B
205236,Burkina Faso,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,34.99,32.97,3.70,D
208901,Burundi,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,67.53,67.53,8.20,D
212566,Cabo Verde,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.13,98.13,,B
216231,Cambodia,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,87.30,87.30,0.24,C
219896,Cameroon,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,82.27,83.10,1.47,C
223561,Canada,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,A
227226,Cayman Islands,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,98.91,98.91,,B
230891,Central African Republic,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,48.58,48.58,17.29,D
